Publicador,Ciudad_Publicador,País_Publicador,Título_Libro,Precio,Cantidad,Fecha_Orden,Nombre_Tienda,Ciudad_Ubica_Tienda,Estado_Ciudad_Ubica_Tienda
New Moon Books,Boston,USA,Is Anger the Enemy?,16.43,43,22/09/1998,Barnum's,Tustin,California
New Moon Books,Boston,USA,Is Anger the Enemy?,16.43,30,22/09/1998,Eric the Read Books,Seattle,Washington
New Moon Books,Boston,USA,Is Anger the Enemy?,16.43,25,23/09/1998,Doc-U-Mat: Quality Laundry and Books,Remulade,Washington
New Moon Books,Boston,USA,Is Anger the Enemy?,16.43,45,23/09/1998,News & Brews,Los Gatos,California
New Moon Books,Boston,USA,Is Anger the Enemy?,18.07,37,27/09/1999,Barnum's,Tustin,California
New Moon Books,Boston,USA,Is Anger the Enemy?,18.07,57,27/09/1999,Eric the Read Books,Seattle,Washington
New Moon Books,Boston,USA,Is Anger the Enemy?,18.07,26,28/09/1999,Doc-U-Mat: Quality Laundry and Books,Remulade,Washington
New Moon Books,Boston,USA,Is Anger the Enemy?,18.07,64,28/09/1999,News & Brews,Los Gatos,California
New Moon Books,Boston,USA,Is Anger the Enemy?,19.71,49,09/01/2001,Barnum's,Tustin,California
New Moon Books,Boston,USA,Is Anger the Enemy?,19.71,52,09/01/2001,Eric the Read Books,Seattle,Washington
New Moon Books,Boston,USA,Is Anger the Enemy?,19.71,50,10/01/2001,Doc-U-Mat: Quality Laundry and Books,Remulade,Washington
New Moon Books,Boston,USA,Is Anger the Enemy?,19.71,10,10/01/2001,News & Brews,Los Gatos,California
New Moon Books,Boston,USA,Life Without Fear,7,52,29/05/1993,Doc-U-Mat: Quality Laundry and Books,Remulade,Washington
New Moon Books,Boston,USA,Life Without Fear,8.05,77,18/06/1995,Doc-U-Mat: Quality Laundry and Books,Remulade,Washington
New Moon Books,Boston,USA,Life Without Fear,9.1,71,02/06/1996,Doc-U-Mat: Quality Laundry and Books,Remulade,Washington
New Moon Books,Boston,USA,Life Without Fear,10.5,71,07/06/1997,Doc-U-Mat: Quality Laundry and Books,Remulade,Washington
New Moon Books,Boston,USA,Life Without Fear,11.55,100,12/06/1998,Doc-U-Mat: Quality Laundry and Books,Remulade,Washington
New Moon Books,Boston,USA,Life Without Fear,12.6,81,25/09/1999,Doc-U-Mat: Quality Laundry and Books,Remulade,Washington
New Moon Books,Boston,USA,Prolonged Data Deprivation: Four Case Studies,19.99,94,29/05/1993,Doc-U-Mat: Quality Laundry and Books,Remulade,Washington
New Moon Books,Boston,USA,Prolonged Data Deprivation: Four Case Studies,22.99,12,18/06/1995,Doc-U-Mat: Quality Laundry and Books,Remulade,Washington
New Moon Books,Boston,USA,Prolonged Data Deprivation: Four Case Studies,25.99,47,02/06/1996,Doc-U-Mat: Quality Laundry and Books,Remulade,Washington
New Moon Books,Boston,USA,Prolonged Data Deprivation: Four Case Studies,29.99,34,07/06/1997,Doc-U-Mat: Quality Laundry and Books,Remulade,Washington
New Moon Books,Boston,USA,Prolonged Data Deprivation: Four Case Studies,32.98,38,12/06/1998,Doc-U-Mat: Quality Laundry and Books,Remulade,Washington
New Moon Books,Boston,USA,Prolonged Data Deprivation: Four Case Studies,35.98,47,25/09/1999,Doc-U-Mat: Quality Laundry and Books,Remulade,Washington
New Moon Books,Boston,USA,You Can Combat Computer Stress!,2.99,25,21/02/1993,Fricative Bookshop,Fremont,California
New Moon Books,Boston,USA,You Can Combat Computer Stress!,3.44,38,13/03/1995,Fricative Bookshop,Fremont,California
New Moon Books,Boston,USA,You Can Combat Computer Stress!,3.89,91,26/02/1996,Fricative Bookshop,Fremont,California
New Moon Books,Boston,USA,You Can Combat Computer Stress!,4.49,65,02/03/1997,Fricative Bookshop,Fremont,California
New Moon Books,Boston,USA,You Can Combat Computer Stress!,4.93,96,07/03/1998,Fricative Bookshop,Fremont,California
New Moon Books,Boston,USA,You Can Combat Computer Stress!,5.38,27,20/06/1999,Fricative Bookshop,Fremont,California
